Sample_text,Category,Final Label,Reasoning
চুরের পোলা শালার পুত,Entertainment,Offensive,"মন্তব্যটি সরাসরি অশ্রদ্ধা প্রদর্শন করে।
নেতিবাচক ভাষা ব্যবহারে আক্রমণাত্মক মনোভাব প্রকাশ।
শালীন শব্দ দিয়ে মত প্রকাশ করা উচিত।"
তুই একটা ছোট লোক তুই কখনই হ্যাপির জন্য ফিট ছিলিনা তুই হলি আন ফিট বয় সেলেব্রেটি লজা করেনা তোর তোকে তো গাঞ্জা খোরের মতো লাগে শালা রংপুরের মফিজ,Entertainment,Offensive,"ব্যক্তিগত আক্রমণে অশালীন শব্দ ব্যবহার করা হয়েছে।
খেলোয়াড়কে অসম্মান প্রদর্শন করার অভিপ্রায় স্পষ্ট।
গঠনমূলক ও শালীন সমালোচনা প্রয়োজন।"
মুসফিক কি বালের খেলুয়ার। অর থেকে ছিনেমার নায়ক রা ভালো আছে।অদের নিয়ে কত বাজে কথা বলে সবাই তার পরেও কোন মাইন করে না।কি মন চলে মুসফিক।ভাব চুদাই।অর ভাবে টাইম আছে। ভুদার পুলা।সামনে পাইলে অকে গুয়া মারতাম।দেখি আমাকে কি করে।ভুদার পুলা।,Entertainment,Offensive,"নেতিবাচক শব্দ এবং অশ্রদ্ধাজনক মন্তব্য ব্যবহার করা হয়েছে।
খেলোয়াড়ের পেশাগত দক্ষতার প্রতি অসম্মান।
সমালোচনায় শালীনতা বজায় রাখা প্রয়োজন।"
শালা একটা মাগিবাজ আজীবন নিশিদ্দ করা হক,Entertainment,Offensive,"মন্তব্যটি সরাসরি ব্যক্তিগত অপমান।
নেতিবাচক শব্দ ব্যবহারে শালীনতার অভাব।
সম্মানজনক সমালোচনাই কাম্য।"
এটা একটা বালের কাপ শুরু হইছে😡 পাপন গ্রেট মাদারচুদ🖕🖕🖕,Entertainment,Offensive,"অশালীন শব্দ ও চিহ্ন ব্যবহার।
সমালোচনায় নেতিবাচক মনোভাব স্পষ্ট।
শালীন ভাষায় মত প্রকাশ জরুরি।"
ভুয়া নিউস দিস কেন মাদারির বাচা,Entertainment,Offensive,"মন্তব্যে অপমানজনক ভাষার ব্যবহার।
অসন্তোষ প্রকাশে শালীনতার অভাব।
গঠনমূলকভাবে মতামত জানানো প্রয়োজন।"
"তোরা শালারা পতিতার মেয়ে নিয়া টানাটানি করস কেনো,,,,মেয়ে কি আর খুজে পাচ না",Entertainment,Offensive,"অপমানজনক শব্দ ব্যবহারে মানহানিকর দৃষ্টিভঙ্গি প্রকাশ।
নেতিবাচক মন্তব্যে শালীনতার অভাব।
সমালোচনায় শালীনতা বজায় রাখা প্রয়োজন।"
পাপন চোর হালা,Entertainment,Offensive,"ব্যক্তিগত আক্রমণে নেতিবাচক শব্দের ব্যবহার।
মন্তব্যটি সম্মানজনক নয়।
সমালোচনার ক্ষেত্রে শালীনতা জরুরি।"
দালাল মাদারতোষ্ট টা কে জুতা পিটা করা উচিত দশক তো সমালোচনা করবেই মুশফিকের আরো দায়িত্বশীল হওয়া উচিত ছিল,Entertainment,Violence,"মন্তব্যটি শারীরিক আক্রমণের প্রতি উস্কানি দেয়।
সমালোচনার নামে সহিংসতার আহ্বান করা হয়েছে।
মত প্রকাশে শালীনতা এবং অহিংস ভাষার প্রয়োজন।"
এইটা টিক না আমাদের ছোট বেলায় মা ভলতেন গালে পিরিচতা তাসকিন একটা পাগল আর ছাগল,Entertainment,Violence,"মন্তব্যটি তুচ্ছতাসূচক এবং সহিংস বার্তা বহন করে।
খেলোয়াড়কে অপ্রাসঙ্গিকভাবে ব্যক্তিগত আক্রমণ করা হয়েছে।
গঠনমূলক এবং সমালোচনামূলক ভঙ্গি প্রয়োজন।"
সালা লুচ্চা,Entertainment,Offensive,"মন্তব্যে অশালীন এবং অসম্মানজনক শব্দ ব্যবহৃত।
সমালোচনার উদ্দেশ্যে ভদ্র ভাষা প্রয়োজন।
নেতিবাচক মনোভাব স্পষ্ট।"
সব কয়টাকে দল থেকে বের করে দিয়ে নতুন দল তৈরি করুক সালা কুওা বাচ্চা রা টাকা জন্য খেলে একটা সিরিজ বাহিরে জিততে পারে না। তাদের কে নোমান দোকান টাকা কয়েন গুলো দিয়ে দে কুওা বাঁ্চা,Entertainment,Offensive,"খেলোয়াড়দের প্রতি অশ্রদ্ধা এবং তাচ্ছিল্য।
নেতিবাচক শব্দের মাধ্যমে অপমান করা হয়েছে।
সম্মানজনক সমালোচনা করা উচিত।"
ওদের পাছায় লাথি মেরে বের করে দেওয়া উচিৎফকিন্নি গুলোর তেল জমছে অনেকখেলাতো ভোগে দিছে,Entertainment,Offensive,"শারীরিক আক্রমণের ইঙ্গিত স্পষ্ট।
নেতিবাচক শব্দ ব্যবহারে খেলোয়াড়দের অসম্মান।
গঠনমূলক সমালোচনার মাধ্যমে মত প্রকাশ প্রয়োজন।"
এই খানকির পোণারা তোদের কি রে গালি ছিছে তাতে তোদের সমস্যা কি,Entertainment,Offensive,"অশালীন শব্দ দিয়ে অসম্মান প্রকাশ।
গালির মাধ্যমে অসঙ্গত সমালোচনা করা হয়েছে।
শালীন শব্দ দিয়ে সমালোচনা প্রয়োজন।"
ঐ কুত্তার বাচ্চা এইটা কি বালের হাইলাইটস হয়ছে?,Entertainment,Offensive,"নেতিবাচক শব্দ ব্যবহার করে অসন্তোষ প্রকাশ।
গঠনমূলক সমালোচনার অভাব।
ভদ্র ভাষায় মতামত জানানো উচিত।"
ছাগলল ক্রিকেটার বাদ পড়েছে এখন যতসব ফাজলামি নিয়া পড়ছে,Entertainment,Offensive,"খেলোয়াড়দের প্রতি অসম্মান।
নেতিবাচক শব্দের মাধ্যমে সমালোচনা।
সম্মানজনক ভঙ্গিতে মতামত প্রয়োজন।"
সাব্বির বালের খেলোয়ার,Entertainment,Offensive,"খেলোয়াড়ের প্রতি অসম্মান প্রকাশ।
নেতিবাচক মনোভাব স্পষ্ট।
শালীনতা বজায় রেখে সমালোচনা প্রয়োজন।"
ভূয়া শিরোনাম করলি কেনো সময় টিভির কুত্তারা?,Entertainment,Offensive,"অশ্রদ্ধাজনক ভাষা ব্যবহার করা হয়েছে।
সংবাদমাধ্যমকে তাচ্ছিল্য করা হয়েছে।
শালীন শব্দ দিয়ে মত প্রকাশ জরুরি।"
ওকে দল থেকে বাদ দেওয়া উচিত।,Entertainment,Offensive,"মন্তব্যে খেলোয়াড়ের প্রতি অসম্মান প্রকাশ।
নেতিবাচক মনোভাব গঠনমূলক সমালোচনা থেকে বিচ্যুত।
আরও সংযত ও শ্রদ্ধাপূর্ণ সমালোচনা প্রয়োজন।"
মুশফিক একটা মাদার চোদ আমার সাতে হলে মুশফিক চাফার দাত ফেলে দিতাম,Entertainment,Offensive,"শারীরিক আক্রমণের উস্কানি স্পষ্ট।
অশালীন ভাষা ব্যবহার সম্পূর্ণ অনৈতিক।
শালীনতার মাধ্যমে সমালোচনার উপস্থাপন জরুরি।"
শালা তুই একটা আবাল এসব বাংলা খবর কোথায় পাস,Entertainment,Offensive,"অশালীন শব্দ ব্যবহার করা হয়েছে।
সংবাদ সমালোচনায় শালীনতা বজায় রাখা প্রয়োজন।
গঠনমূলক আলোচনা এড়ানো হয়েছে।"
বাংলাদেশ পুরো ক্রিকেট টিম মাগীবাজ...,Entertainment,Offensive,"পুরো দলের প্রতি অযাচিত এবং অসম্মানজনক মন্তব্য।
নেতিবাচক শব্দের মাধ্যমে বিদ্বেষ উস্কে দেওয়া হয়েছে।
মন্তব্যের ভাষা আরও শালীন হওয়া উচিত।"
শালা রে কাছে পেলে মাইরা ফেলব কুত্তার বাচ্চা,Entertainment,Offensive,"শারীরিক আক্রমণের হুমকি অত্যন্ত নিন্দনীয়।
অশালীন শব্দ ব্যবহারে মন্তব্যটি অনৈতিক।
সহিংসতার উস্কানি না দিয়ে যুক্তি দিয়ে মত প্রকাশ জরুরি।"
খুলনার টিম ম্যানেজন্ট এক নাম্বার পাগল ছারা আর কিছুইনা মেহেদী ছাগলটা একটা মেছ ভালো খেলছে এইজন্য পতিদিন ওপিনিং দেই নামে টা মুখস্ত মারি আউট হয়ে যায় কেন যে এই ভুলটা বার বার করে এখন খুলনার অবস্থা খারাপ,Entertainment,Offensive,"নেতিবাচক শব্দ ব্যবহারে ম্যানেজমেন্ট ও খেলোয়াড়দের অসম্মান করা হয়েছে।
গঠনমূলক সমালোচনা না করে অযাচিত আক্রমণ করা হয়েছে।
সুশীল মন্তব্যে সমালোচনার প্রয়োজন।"
"রুবেলের মত কুত্তা কেউ আছে, জাতীয় দল থেকে বাদ দেওয়া হোক।",Entertainment,Offensive,"খেলোয়াড়ের প্রতি অযথা বিদ্বেষ প্রকাশ।
নেতিবাচক ভাষা প্রমাণ করে মন্তব্যটি অসম্মানজনক।
সমালোচনায় শালীনতা বজায় রাখা প্রয়োজন।"
এই জন্যই তাসকিন তোরে দলে নেওয়া না তুই একটা পাগল,Entertainment,Offensive,"খেলোয়াড়কে ব্যক্তিগত আক্রমণ করে অপমান করা হয়েছে।
মন্তব্যে কোনও গঠনমূলক দিক নেই।
আরও ভদ্রভাবে সমালোচনা উপস্থাপন করা উচিত।"
ওই দালাল খাজাখোর টা কে জুতা পেটা করা দরকার ওই কি চেটের বাল।।,Entertainment,Violence,"শারীরিক সহিংসতার হুমকি স্পষ্ট।
গঠনমূলক মতামতের পরিবর্তে উস্কানিমূলক বক্তব্য।
সহিংসতার পরিবর্তে সমালোচনামূলক দৃষ্টিভঙ্গি রাখা উচিত।"
তুই হালা চোর তোরে চাটাই করতে হবে,Entertainment,Offensive,"নেতিবাচক ভাষা আক্রমণাত্মক এবং অশালীন।
সমালোচনার পরিবর্তে অযাচিত বিদ্বেষ প্রকাশ।
শালীন ভাষায় মতামত প্রকাশ করা উচিত।"
পাপন গালে গালে জুতা মার তালে তালে,Entertainment,Offensive,"নেতিবাচক মনোভাব এবং সহিংসতার উস্কানি।
শালীনতা না থাকায় মন্তব্যটি অগ্রহণযোগ্য।
গঠনমূলক পরামর্শ দেওয়া উচিত ছিল।"
তামিম বাল খেলছে। শেষ বলে মাছ ধরার কৌশল দেখলাম। কিন্তু ছুটে যাওয়ায় খারাপ লাগল।,Entertainment,Offensive,"নেতিবাচক শব্দ খেলোয়াড়কে অসম্মানিত করেছে।
মন্তব্যে শালীনতার অভাব স্পষ্ট।
আরও সঠিকভাবে অনুভূতি প্রকাশের প্রয়োজন।"
বোকা চোদা চেনেল আবাল,Entertainment,Sexual Harassments,"চ্যানেলকে অসম্মান করে অবমাননাকর শব্দ ব্যবহৃত হয়েছে।
অশালীন ভাষা প্রমাণ করে মন্তব্যটি অগ্রহণযোগ্য।
সমালোচনার ক্ষেত্রে ভদ্রতা গুরুত্বপূর্ণ।"
সিলেট টাকা দিয়ে কি বাল কিনছে সব সবগুলা অচল মাল,Entertainment,Offensive,"নেতিবাচক শব্দ ব্যবহারে খেলোয়াড়দের অপমান করা হয়েছে।
গঠনমূলক মতামত দেওয়া হয়নি।
আরও সংযত ভাষায় মতামত প্রকাশ করা উচিত।"
পাপন একটা কুত্তার বাচ্চা।,Entertainment,Offensive,"ব্যক্তিগত আক্রমণ এবং নেতিবাচক শব্দ ব্যবহার।
মন্তব্যটি সম্পূর্ণ অশালীন এবং অসম্মানজনক।
সমালোচনার ভাষা আরও গ্রহণযোগ্য হওয়া উচিত।"
মুসফিক কোন চেটের বাল ওরে গালি দিলে কি হবে এই ছেলেদের কারনেই তোরা আজ মুসফিক।,Entertainment,Offensive,"নেতিবাচক শব্দ এবং গালিগালাজ অগ্রহণযোগ্য।
খেলোয়াড়ের অবদানের প্রতি অসম্মান।
আরও সম্মানজনক ভাষায় সমালোচনা করা প্রয়োজন।"
মাদারচোত পাপন তুই তো আওয়ামিললীগের কুত্তা না তাই তো,Entertainment,Offensive,"নেতিবাচক শব্দ এবং ব্যক্তিগত আক্রমণ স্পষ্ট।
মন্তব্যে গঠনমূলক কিছু নেই।
শালীন সমালোচনার মাধ্যমে মত প্রকাশ প্রয়োজন।"
মাদার চোদ এই খবর কোথায় পেলি ইংল্যান্ড এর হয়ে খেলবে,Entertainment,Offensive,"গালিগালাজ ও নেতিবাচক মনোভাব অগ্রহণযোগ্য।
অশালীন ভাষা সমালোচনার গুরুত্ব হারিয়েছে।
আরও সুসংগত এবং যুক্তিযুক্ত সমালোচনা প্রয়োজন।"
নটির পোলা রুবেল তরা আসলে ব্যাশা মাগির পোলারা,Entertainment,Offensive,"ব্যক্তিগত আক্রমণ এবং নেতিবাচক শব্দ ব্যবহৃত হয়েছে।
মন্তব্য সম্পূর্ণ অবমাননাকর।
সমালোচনার ভাষা সম্মানজনক হওয়া উচিত।"
এই জানোয়ারের মুখ দেখতে গিন করে,Entertainment,Offensive,"নেতিবাচক শব্দ এবং অসম্মানজনক বক্তব্য।
খেলোয়াড়কে ব্যক্তিগতভাবে আক্রমণ করা হয়েছে।
শালীন এবং যুক্তিপূর্ণ সমালোচনা গুরুত্বপূর্ণ।"
খেলোয়ারা হারামি তার পাসে খেলোয়ার নেই,Entertainment,Offensive,"খেলোয়াড়দের প্রতি অযাচিত বিদ্বেষ প্রকাশ।
মন্তব্যে গঠনমূলক দিক অনুপস্থিত।
আরও সম্মানজনক ভাষায় মতামত প্রকাশ প্রয়োজন।"
মাদারের বাচ্চা বড় লুচ্চা,Entertainment,Offensive,"অশালীন শব্দ ব্যবহৃত হয়েছে।
নেতিবাচক মনোভাব সম্পূর্ণ অগ্রহণযোগ্য।
শালীন ভাষায় সমালোচনা গুরুত্বপূর্ণ।"
দুরো হালা তাসকিন,Entertainment,Offensive,"নেতিবাচক শব্দ এবং খেলোয়াড়কে অসম্মান।
মন্তব্যের ভাষা আরও গ্রহণযোগ্য হওয়া উচিত।
আরও সংযত এবং গঠনমূলক সমালোচনা প্রয়োজন।"
জুতা মারো সালারে,Entertainment,Offensive,"সহিংসতার উস্কানি স্পষ্ট।
মন্তব্যটি সম্পূর্ণ অগ্রহণযোগ্য এবং নেতিবাচক।
আরও ভদ্র ও গঠনমূলক ভাষার প্রয়োজন।"
চামচা গুলা সব মাদারচোদ,Entertainment,Offensive,"নেতিবাচক মনোভাব এবং অবমাননাকর শব্দ ব্যবহার।
গঠনমূলক কিছু না বলে অযাচিত মন্তব্য।
শালীন ভাষায় সমালোচনা জরুরি।"
পুরাই মাদারবোর্ড একটা।। এক ম্যাচে রান পাইয়াই ভাব বাইরা গেসে।। রুশো রে গালিও দিতেসে।।,Entertainment,Offensive,"ব্যক্তিগত আক্রমণ এবং নেতিবাচক মনোভাব স্পষ্ট।
খেলোয়াড়কে অসম্মানজনকভাবে উল্লেখ করা হয়েছে।
আরও শালীন ভাষায় সমালোচনা করা উচিত।"
একটা চুতিয়া কাউন্সিল। তারা জুয়ারীদের না ধরে প্লেয়ারদের পেছনে লাগে। হলো ভারতের দালাল। কে বাতিল করে নতুন ক্রিকেট কাউন্সিল করা দরকার।,Entertainment,Offensive,"কাউন্সিলের প্রতি বিদ্বেষমূলক ভাষা ব্যবহার করা হয়েছে।
নেতিবাচক মনোভাব ও অশালীন শব্দ প্রমাণ করে আক্রমণাত্মক বক্তব্য।
যুক্তিসঙ্গত সমালোচনা আরও কার্যকর হতে পারত।"
মাগিবাজ,Entertainment,Offensive,"কাউন্সিলের প্রতি বিদ্বেষমূলক ভাষা ব্যবহার করা হয়েছে।
নেতিবাচক মনোভাব ও অশালীন শব্দ প্রমাণ করে আক্রমণাত্মক বক্তব্য।
যুক্তিসঙ্গত সমালোচনা আরও কার্যকর হতে পারত।"
খানকির ছুয়াল তর এই চ্যনেল এর গুস্টি চুদা দরকার,Entertainment,Offensive,"অশালীন শব্দ ব্যবহার করে ব্যক্তিগত আক্রমণ।
মন্তব্যে গঠনমূলক কিছু নেই।
শালীন ভাষায় সমালোচনা করা প্রয়োজন।"
কয়টা দেশী চুতিয়া মার্কা খেলোয়ারের জন্য কুমিল্লা হারতেছে।,Entertainment,Offensive,"চ্যানেলের প্রতি অশালীন ও অপমানজনক মন্তব্য।
নেতিবাচক মনোভাব এবং গঠনমূলক সমালোচনা অনুপস্থিত।
সহিংস ও অসম্মানজনক শব্দ ব্যবহার করা উচিত নয়।"
সবই বুজলাম বাইঞ্চোদ রানা আসলো কেন এখানে?,Entertainment,Offensive,"খেলোয়াড়দের অশালীনভাবে অপমান করা হয়েছে।
নেতিবাচক শব্দের কারণে মন্তব্যটি অসম্মানজনক।
সমালোচনার ভাষা আরও শালীন হওয়া উচিত।"
আবাল দিয়ে দেশটা ভরে গেছে,Entertainment,Offensive,"নেতিবাচক মনোভাব এবং গালিগালাজ স্পষ্ট।
মন্তব্যে কোনও গঠনমূলক দিক নেই।
শালীনতার সাথে সমালোচনা করা উচিত।"
সাব্বির রহমান একটা বালের খেলোয়ার 😏,Entertainment,Offensive,"নেতিবাচক ও অসম্মানজনক শব্দ ব্যবহৃত হয়েছে।
মন্তব্যটি অগ্রহণযোগ্য এবং বিদ্বেষপূর্ণ।
শালীনতা বজায় রেখে মতামত প্রকাশ করা প্রয়োজন।"
বাংলাদেশের এক নাম্বার মাদারী এখন,Entertainment,Offensive,"খেলোয়াড়কে অযাচিতভাবে অপমান করা হয়েছে।
নেতিবাচক শব্দ মন্তব্যের গুরুত্ব কমিয়েছে।
আরও শালীনভাবে সমালোচনা করা উচিত।"
মাশরাফির ঢাকারে রীতিমত চুদলো চিটাগাং৷ এখন বুঝ কেমন লাগে,Entertainment,Offensive,"নেতিবাচক মনোভাব এবং ব্যক্তিগত আক্রমণ।
মন্তব্যে গঠনমূলক দিক অনুপস্থিত।
আরও সম্মানজনক ভাষায় সমালোচনা প্রয়োজন।"
শামীম হালার পো 😑,Entertainment,Offensive,"নেতিবাচক শব্দ এবং গালিগালাজ ব্যবহার করা হয়েছে।
অসম্মানজনক মন্তব্যের কারণে অগ্রহণযোগ্য।
আরও ভদ্র ভাষায় অনুভূতি প্রকাশ করা উচিত।"
এই মাগির পুলা জারজ লীগ মাগি লীগ তাই আর কিছু না পেয়ে কয়দিন আগে পাপনের বউকে চুদে ছিলো তাই পতিশুদ দেয়,Entertainment,Offensive,"খেলোয়াড়কে অসম্মানজনক ভাষায় উল্লেখ করা হয়েছে।
মন্তব্যে গঠনমূলক কিছু নেই।
সমালোচনায় শালীনতা বজায় রাখা প্রয়োজন।"
সালা ভিজে বিড়াল।কথায় কথায় ইংরেজী শব্দ ব্যবহার করো। বাংলায় কথা বলসালা এটাকি তোমার বাপের সম্পত্তি পাইছো নাকি।,Entertainment,Offensive,"নেতিবাচক শব্দ ব্যবহার করে অসম্মান করা হয়েছে।
অশালীন মন্তব্য সম্পূর্ণ অগ্রহণযোগ্য।
শালীন সমালোচনা আরও গ্রহণযোগ্য হতে পারত।"
বাংলাদেশ জাতীয় দলের অধপতন পাপন বড় অবদান রাখলহাইরে সালার পুত,Entertainment,Offensive,"নেতিবাচক মনোভাব এবং অপমান স্পষ্ট।
মন্তব্যে গঠনমূলক কিছু নেই।
আরও শালীনভাবে মতামত প্রকাশ করা উচিত।"
শালার পুত টাকা না আরো বিষয় আছে,Entertainment,Harmful,"ব্যক্তিগত আক্রমণ এবং নেতিবাচক মন্তব্য।
মন্তব্যটি সম্পূর্ণ অসম্মানজনক।
আরও শালীনভাবে বিষয়টি উপস্থাপন করা উচিত।"
ইউ আর বাস্টার্ড বাইনচোদ এসব মিথ্যা খবর প্রচার করার জন্য এই ইউটিউবার হয়েছো তুমি।,Entertainment,Propaganda,"নেতিবাচক শব্দ এবং গঠনমূলক সমালোচনা অনুপস্থিত।
মন্তব্যে অশালীন ভাষা ব্যবহৃত হয়েছে।
আরও যুক্তিসঙ্গত সমালোচনা প্রয়োজন।"
শালা ফালতু,Entertainment,Offensive,"নেতিবাচক শব্দ এবং গালিগালাজ সম্পূর্ণ অগ্রহণযোগ্য।
মিথ্যা খবর প্রচারের অভিযোগ স্পষ্ট।
যুক্তিযুক্ত মন্তব্য করা উচিত।"
আবাল গুলার বাড়ি নিশ্চই পাবনা,Entertainment,Offensive,"নেতিবাচক শব্দ এবং অসম্মানজনক মন্তব্য।
গঠনমূলক কিছু উপস্থাপন করা হয়নি।
আরও শালীন ভাষায় মতামত প্রকাশ করা উচিত।"
বালের টিম করছে সিলেটে।,Entertainment,Offensive,"নেতিবাচক মনোভাব এবং অসম্মানজনক শব্দ।
মন্তব্যটি বিদ্বেষপূর্ণ এবং অগ্রহণযোগ্য।
শালীনতা বজায় রেখে মত প্রকাশ প্রয়োজন।"
পাপন খানকির পোলার পদত্যাগ চাই,Entertainment,Offensive,"নেতিবাচক শব্দ ব্যবহারে টিমকে অসম্মান করা হয়েছে।
মন্তব্যটি সম্পূর্ণ গঠনমূলক নয়।
আরও শালীনভাবে সমালোচনা প্রয়োজন।"
খেলোয়ার হইছে মনে হয় বাল ফালাইছে বার বার লজ্জাজনক ভাবে হেরে আসে আবার সাধারন মানুষের উপর রাগ চুদায় খানকির বাচ্চাদের জনগনের টাকায় বেতন দেয়া হয় আবার কিনা সেই জনগণের উপর রাগ দেখায়।,Entertainment,Harmful,"নেতিবাচক ভাষার মাধ্যমে খেলোয়াড়দের প্রতি অপমান।
আক্রমণাত্মক শব্দগুচ্ছ এবং জনগণের প্রতি বিদ্বেষ স্পষ্ট।
গঠনমূলক আলোচনা ছাড়া শুধু হতাশা প্রকাশ।"
খানকির ছেলে তোরমাকে চুূদি গাজা খায়ে ভিডিও বানাও,Entertainment,Offensive,"ব্যক্তিগত আক্রমণ এবং অশালীন মন্তব্য।
নেতিবাচক শব্দ ব্যবহার মন্তব্যের গ্রহণযোগ্যতা নষ্ট করেছে।
শালীনতার অভাবে বক্তব্য অগ্রহণযোগ্য।"
ওই ফোকিরনি তোরে কুত্তার মতো দেখা জায়,Entertainment,Offensive,"অপমানমূলক শব্দ এবং ব্যক্তিগত আক্রমণ স্পষ্ট।
মন্তব্যে গঠনমূলক কিছু নেই।
শালীনতা এবং মানবিকতার অভাব।"
"এই চ্যানেল এর মাইরে চুদি ভুলভাল ভিডিও দেখাস খানকির পোলা
",Entertainment,Offensive,"চ্যানেল এবং এর পরিচালকদের প্রতি অশালীন মন্তব্য।
বিদ্বেষপূর্ণ এবং অসম্মানজনক বক্তব্য।
আলোচনা বা সমালোচনার ভাষা শালীন হওয়া প্রয়োজন।"
বিসিবির মাদারী দুই বছর বাল তুলছে এখন এসে সব৷,Entertainment,Offensive,"বিসিবি কর্মকর্তাদের প্রতি অপমানমূলক মন্তব্য।
নেতিবাচক শব্দ ব্যবহারে বিষয়বস্তু ক্ষতিগ্রস্ত হয়েছে।
সমালোচনা শালীনভাবে করা উচিত।"
এই সালার পুত,Entertainment,Offensive,"ব্যক্তিগত আক্রমণ এবং নেতিবাচক মনোভাব।
গঠনমূলক বক্তব্যের অভাব।
শালীন শব্দ ব্যবহার মন্তব্যকে আরও গ্রহণযোগ্য করত।"
বান্দির বাচ্চা সব চামচা,Entertainment,Offensive,"ব্যক্তিগত আক্রমণ এবং অপমান।
নেতিবাচক শব্দের প্রয়োগ।
সমালোচনা মানবিকভাবে উপস্থাপন করা উচিত।"
পাপন শালা পদত্যাগ করছে না কেন???,Entertainment,Offensive,"নেতিবাচক শব্দ ব্যবহারে বিষয়টি ক্ষতিগ্রস্ত হয়েছে।
বক্তব্যে বিদ্বেষের প্রকাশ।
শালীন ভাষায় সমালোচনা করা উচিত।"
নান্নু শালার পোতেরে সরাইয়া দিলেই সব টিক হবে,Entertainment,Offensive,"ব্যক্তিগত আক্রমণ এবং নেতিবাচক মন্তব্য।
গঠনমূলক কিছু উপস্থাপিত হয়নি।
সমালোচনার ভাষা শালীন হওয়া উচিত।"
ছাগল বড় ছাগল তাসকিন,Entertainment,Offensive,"খেলোয়াড়ের প্রতি অসম্মান প্রদর্শন।
নেতিবাচক শব্দগুচ্ছ বক্তব্যের গুরুত্ব কমিয়েছে।
আরও শালীন ভাষায় সমালোচনা হওয়া উচিত।"
বাংলাদেশের খেলোয়াড়দের দফা দাবি পূরণ করতে হবে আর তা করতে না পারলে বিসিবি সভাপতি নাজমুল হাসান পাপন মাদারিচ্চুদকে পদত্যাগ করতে হবে,Entertainment,Offensive,"বক্তব্যে বিদ্বেষ এবং অপমান স্পষ্ট।
সমালোচনার ভাষায় শালীনতার অভাব।
মতামত আরও গঠনমূলক হতে পারত।"
নান্নু একটা মাদারচুদ,Entertainment,Offensive,"ব্যক্তিগত আক্রমণ এবং নেতিবাচক শব্দ।
মন্তব্যের গ্রহণযোগ্যতা নষ্ট হয়েছে।
সমালোচনায় শালীনতা প্রয়োজন।"
সবাইকে একটা একটা চুদা দিন,Entertainment,Offensive,"মন্তব্যে সম্পূর্ণ শালীনতার অভাব।
বিদ্বেষপূর্ণ এবং অসম্মানজনক।
ভাষার ব্যবহার আরও শালীন হওয়া উচিত।"
সব কিছু করছে হারামজাদা পাপন বাইনচোদ ক্রিকেট অর বাব দাদার সম্পত্তি মনে করে,Entertainment,Offensive,"বিসিবি সভাপতির প্রতি নেতিবাচক মনোভাব।
অশালীন শব্দ মন্তব্যের গুরুত্ব কমিয়েছে।
মতামত শালীন ভাষায় হওয়া উচিত।"
তুই তোর বাপের পুটকি দিয়ে হইচত,Entertainment,Offensive,"ব্যক্তিগত আক্রমণ এবং অপমান।
মন্তব্যে গঠনমূলক কিছু নেই।
শালীনতার অভাবে অগ্রহণযোগ্য।"
কুওার বাচ্চা মাছ দিয়ে শাক ঢাকার চেষ্টা করিস তুই জনগণকে বোকা মনে করিস জনগণ বোকা না তুই পাপন বছর বিসিবির প্রধান থাকবি এমন দিন আসবে সেই দিন তোকে জুতার মালা পরিয়ে রাস্তায় নামিয়ে গুরাবে,Entertainment,Violence,"সহিংস মনোভাব এবং অপমানজনক শব্দ।
বক্তব্য সম্পূর্ণভাবে অগ্রহণযোগ্য।
মত প্রকাশে শালীনতা ও মানবিকতা প্রয়োজন।"
আমি যতদিন আছি সম্ভব না পাপকে ঘৃণা কর আর পাপনকে নই। বাণীতে মাদারচোদ পাপন,Entertainment,Offensive,"নেতিবাচক মনোভাব এবং অপমান।
বক্তব্যে বিদ্বেষপূর্ণ শব্দ ব্যবহার।
সমালোচনা আরও শালীনভাবে করা উচিত।"
এই মাগির বাচচা,Entertainment,Offensive,"অপমান এবং নেতিবাচক মনোভাব।
মন্তব্যে গঠনমূলক কিছু নেই।
শালীন ভাষা ব্যবহারে বক্তব্য আরও গ্রহণযোগ্য হতো।"
দাদা নান্নু কুত্তার বাচ্চা কে সরিয়ে দিন!,Entertainment,Offensive,"নেতিবাচক মনোভাব এবং অপমান স্পষ্ট।
মন্তব্যের গ্রহণযোগ্যতা নষ্ট হয়েছে।
সমালোচনার ভাষা শালীন হওয়া উচিত।"
এই সব মাগীগো কোন লজ্জা শরম নাই। এদের ইজ্জতের কোন দাম নাই। এরা শুধুমাত্র নাম প্রচারের জন্য যে কারো সাথে বিছানায় যেতে পারে। এত ঘটনার পরেও মুখ দেখায় কিভাবে? এরা পতিতা।,Entertainment,Propaganda,"অবমাননাকর বক্তব্য এবং বিদ্বেষ স্পষ্ট।
ভিত্তিহীন অভিযোগের মাধ্যমে অপপ্রচার।
গঠনমূলক আলোচনার পরিবর্তে নেতিবাচক প্রচারণা।"
এই আবালচোদা শামিম ছাড়া আর কোনো ভাষ্যকার নেই?,Entertainment,Sexual Harassments,"কটূক্তি এবং অপমানজনক শব্দের ব্যবহার যৌন হয়রানির মতো আচরণ।
শালীনতার অভাবে মন্তব্যটি অগ্রহণযোগ্য।
সমালোচনায় গঠনমূলক এবং শালীন হওয়া উচিত।"
